team_name,group,elo_rating,recent_form,avg_goals_scored,avg_goals_conceded,key_player,key_player_stat,flag_emoji,confederation
Mexico,A,1820,"W,L,W,W,D",1.65,1.05,Santiago Giménez,7 goals in CONCACAF qualifiers,🇲🇽,CONCACAF
South Africa,A,1550,"W,D,L,W,D",1.30,1.25,Percy Tau,5 goals in CAF qualifiers,🇿🇦,CAF
South Korea,A,1790,"W,W,D,W,D",2.10,0.85,Heung-min Son,7 goals in AFC qualifiers,🇰🇷,AFC
Czechia,A,1745,"W,D,W,L,D",1.60,1.05,Patrik Schick,4 goals in Euro qualifiers,🇨🇿,UEFA
Canada,B,1750,"W,D,L,W,D",1.70,1.10,Jonathan David,5 goals in CONCACAF qualifiers,🇨🇦,CONCACAF
Bosnia and Herzegovina,B,1700,"W,L,D,W,D",1.45,1.20,Edin Dzeko,6 goals in qualifiers,🇧🇦,UEFA
Qatar,B,1640,"W,W,L,W,D",1.80,1.30,Akram Afif,8 assists in Asian Cup,🇶🇦,AFC
Switzerland,B,1820,"D,W,D,W,L",1.60,0.85,Granit Xhaka,82% pass completion in qualifiers,🇨🇭,UEFA
Brazil,C,1980,"W,D,L,L,W",1.85,0.95,Vinícius Júnior,5 goals in qualifiers,🇧🇷,CONMEBOL
Morocco,C,1910,"D,W,W,D,W",1.80,0.50,Achraf Hakimi,5 assists in qualifiers,🇲🇦,CAF
Haiti,C,1540,"D,L,W,D,L",1.10,1.45,Duckens Nazon,3 goals in CONCACAF,🇭🇹,CONCACAF
Scotland,C,1715,"L,D,W,L,D",1.40,1.30,Scott McTominay,7 goals in qualifiers,🏴󠁧󠁢󠁳󠁣󠁴󠁿,UEFA
USA,D,1820,"L,W,D,W,L",1.75,1.10,Christian Pulisic,6 goals in qualifiers,🇺🇸,CONCACAF
Paraguay,D,1730,"W,D,W,L,W",1.50,1.10,Miguel Almirón,4 goals in CONMEBOL qualifiers,🇵🇾,CONMEBOL
Australia,D,1750,"W,W,L,W,D",1.95,0.70,Harry Souttar,4 goals in AFC qualifiers,🇦🇺,AFC
Turkey,D,1780,"L,W,W,D,L",1.70,1.20,Arda Güler,6 goals in Euro qualifiers,🇹🇷,UEFA
